marca,modelo,motor,torque,notas
Chevrolet,Corsa 1.6,8v Family I,24 Nm,"Verificar avance de encendido; secuencia desde el centro"
Chevrolet,Astra 2.0,16v Family II,28 Nm,"Cambiar tensores y rodillos; controlar marcas"
Chevrolet,Onix 1.4,8v,24 Nm,"Correa cada 60.000 km; revisar bomba"
Chevrolet,Prisma 1.4,8v,24 Nm,"Chequeo de fugas en tapa"
Chevrolet,S10 2.8,Diésel,85 Nm,"Usar ángulo adicional según hoja del fabricante"

Volkswagen,Gol 1.6,8v EA111,25 Nm,"Cambio de correa cada 60.000 km"
Volkswagen,Suran 1.6,8v EA111,25 Nm,"Controlar tensor automático"
Volkswagen,Fox 1.6,8v EA111,25 Nm,"Verificar sincronía tras 2 vueltas"
Volkswagen,Voyage 1.6,8v EA111,25 Nm,"Reapriete en caliente no requerido"
Volkswagen,Polo 1.6,16v MSI,28 Nm,"Seguir ángulos indicados; sensor CMP"

Fiat,Palio 1.6,16v E.torQ,24 Nm,"Secuencia de tapa en cruz; control de fugas"
Fiat,Uno Fire 1.4,8v FIRE,22 Nm,"Ajuste de luz de válvulas en frío"
Fiat,Siena 1.4,8v FIRE,22 Nm,"Verificar PMS y marcas"
Fiat,Argo 1.3,8v Firefly,24 Nm,"Tensión correcta de correa"
Fiat,Linea 1.8,16v E.torQ,24 Nm,"Chequeo de patines/guías"

Renault,Clio 1.2,8v D7F,20 Nm,"Útiles de calado; marcas en polea"
Renault,Logan 1.6,8v K7M,22 Nm,"Controlar galgas (si aplica) en frío"
Renault,Sandero 1.6,16v K4M,24 Nm,"Verificar fase CKP/CMP"
Renault,Duster 2.0,16v F4R,28 Nm,"Dos vueltas y re-chequeo"
Renault,Kangoo 1.6,8v K7M,22 Nm,"Correa y tensor nuevos"

Peugeot,206 1.6,16v TU5JP4,22 Nm,"Luz de válvulas según hoja; revisar bobinas"
Peugeot,207 Compact 1.4,8v TU3JP,22 Nm,"Sincronizar con marcas"
Peugeot,208 1.6,16v EC5,25 Nm,"Control de fugas luego de 10 min"
Peugeot,Partner 1.6,Diésel DV6,70 Nm,"Seguir ángulos; limpiar superficie"
Peugeot,308 2.0,16v EW10,28 Nm,"Tensores nuevos; ver fase CMP"

